tnik,  i ,    X  ,    Y  ,    W  ,    H  ,x,y,AncX,AncY
Page,   1,   0.00,   0.00, 960.00, 540.00,L,B,   0,   0
Line,   1,   0.00,   0.00, 960.00, 462.86,L,B,   0,   0
tnik,  i ,    X  ,    Y  ,    W  ,    H  ,x,y,AncX,AncY
RowL,   1,   0.00,   0.00, 960.00,  77.14,L,B,   0,   0
tnik,  i ,    X  ,    Y  ,    W  ,    H  ,x,y,AncX,AncY,CntW,CntH,v,a,Ascn,Dscn,nA-D,FnSz,Lead,LnSp, ForegroundColor , BackgroundColor ,B,I,S,M,W,w,FontName
QClm,   1,   0.00,   0.00,  96.00,  77.14,L,B,   0,   0,57.9,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[  0   8   8 255],[ 10 255 255 255],1,1,1,1,1,c,Lucida Console       
QClm,   2,  96.00,   0.00,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[ 10 255 255 255],[  0   8   8 255],0,0,1,1,1,c,Lucida Console       
QClm,   3, 192.00,   0.00,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[ 10 255 255 255],[  0   8   8 255],0,0,1,1,1,c,Lucida Console       
QClm,   4, 288.00,   0.00,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[ 10 255 255 255],[  0   8   8 255],0,0,1,1,1,c,Lucida Console       
QClm,   5, 384.00,   0.00,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[ 10 255 255 255],[  0   8   8 255],0,0,1,1,1,c,Lucida Console       
QClm,   6, 480.00,   0.00,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[ 10 255 255 255],[  0   8   8 255],0,0,1,1,1,c,Lucida Console       
QClm,   7, 576.00,   0.00,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[ 10 255 255 255],[  0   8   8 255],0,0,1,1,1,c,Lucida Console       
QClm,   8, 672.00,   0.00,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[ 10 255 255 255],[  0   8   8 255],0,0,1,1,1,c,Lucida Console       
QClm,   9, 768.00,   0.00,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[ 10 255 255 255],[  0   8   8 255],0,0,1,1,1,c,Lucida Console       
QClm,  10, 864.00,   0.00,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[ 10  10 255 255],[  0   0   8 255],0,0,1,1,1,c,Lucida Console       
Sect,   1,   0.00,   0.00, 960.00, 462.86,L,B,   0,   0
tnik,  i ,    X  ,    Y  ,    W  ,    H  ,x,y,AncX,AncY
Colm,   1,   0.00,   0.00,  96.00, 462.86,L,B,   0,   0
Colm,   2,  96.00,   0.00,  96.00, 462.86,L,B,   0,   0
Colm,   3, 192.00,   0.00,  96.00, 462.86,L,B,   0,   0
Colm,   4, 288.00,   0.00,  96.00, 462.86,L,B,   0,   0
Colm,   5, 384.00,   0.00,  96.00, 462.86,L,B,   0,   0
Colm,   6, 480.00,   0.00,  96.00, 462.86,L,B,   0,   0
Colm,   7, 576.00,   0.00,  96.00, 462.86,L,B,   0,   0
Colm,   8, 672.00,   0.00,  96.00, 462.86,L,B,   0,   0
Colm,   9, 768.00,   0.00,  96.00, 462.86,L,B,   0,   0
Colm,  10, 864.00,   0.00,  96.00, 462.86,L,B,   0,   0
tnik,  i ,    X  ,    Y  ,    W  ,    H  ,x,y,AncX,AncY,CntW,CntH,v,a,Ascn,Dscn,nA-D,FnSz,Lead,LnSp, ForegroundColor , BackgroundColor ,B,I,S,M,W,w,FontName
Tabl,   1,   0.00,   0.00,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,   2,   0.00, -77.14,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,   3,   0.00,-154.29,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
