    ,  n ,   1   ,   1   ,  10   ,   6   ,    ,  i ,   1   ,   1   ,   1   ,   6   ,    ,  s ,   0   
tnik,  i ,    X  ,    Y  ,    W  ,    H  ,x,y,AncX,AncY
Page,   1, 320.00, 240.00, 640.00, 480.00,C,C, 320, 240
Line,   1, 320.00, 240.00, 640.00, 480.00,C,C, 320, 240
Sect,   1, 320.00, 240.00, 640.00, 480.00,C,C, 320, 240
tnik,  i ,    X  ,    Y  ,    W  ,    H  ,x,y,AncX,AncY
Colm,   1,  32.00, 240.00,  64.00, 480.00,C,C,  32, 240
Colm,   2,  96.00, 240.00,  64.00, 480.00,C,C,  32, 240
Colm,   3, 160.00, 240.00,  64.00, 480.00,C,C,  32, 240
Colm,   4, 224.00, 240.00,  64.00, 480.00,C,C,  32, 240
Colm,   5, 288.00, 240.00,  64.00, 480.00,C,C,  32, 240
Colm,   6, 352.00, 240.00,  64.00, 480.00,C,C,  32, 240
Colm,   7, 416.00, 240.00,  64.00, 480.00,C,C,  32, 240
Colm,   8, 480.00, 240.00,  64.00, 480.00,C,C,  32, 240
Colm,   9, 544.00, 240.00,  64.00, 480.00,C,C,  32, 240
Colm,  10, 608.00, 240.00,  64.00, 480.00,C,C,  32, 240
tnik,  i ,    X  ,    Y  ,    W  ,    H  ,x,y,AncX,AncY,CntW,CntH,v,a,Ascn,Dscn,nA-D,FnSz,Lead,LnSp, ForegroundColor , BackgroundColor ,B,I,S,M,W,w,FontName
Tabl,   1,  32.00, 445.71,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,   2,  32.00, 377.14,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,   3,  32.00, 308.57,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,   4,  32.00, 240.00,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,   5,  32.00, 171.43,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,   6,  32.00, 102.86,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,   7,  96.00, 445.71,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,   8,  96.00, 377.14,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,   9,  96.00, 308.57,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  10,  96.00, 240.00,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  11,  96.00, 171.43,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  12,  96.00, 102.86,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  13, 160.00, 445.71,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  14, 160.00, 377.14,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  15, 160.00, 308.57,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  16, 160.00, 240.00,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  17, 160.00, 171.43,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  18, 160.00, 102.86,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  19, 224.00, 445.71,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  20, 224.00, 377.14,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  21, 224.00, 308.57,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  22, 224.00, 240.00,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  23, 224.00, 171.43,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  24, 224.00, 102.86,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  25, 288.00, 445.71,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  26, 288.00, 377.14,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  27, 288.00, 308.57,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  28, 288.00, 240.00,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  29, 288.00, 171.43,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  30, 288.00, 102.86,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  31, 352.00, 445.71,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  32, 352.00, 377.14,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  33, 352.00, 308.57,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  34, 352.00, 240.00,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  35, 352.00, 171.43,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  36, 352.00, 102.86,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  37, 416.00, 445.71,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  38, 416.00, 377.14,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  39, 416.00, 308.57,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  40, 416.00, 240.00,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  41, 416.00, 171.43,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  42, 416.00, 102.86,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  43, 480.00, 445.71,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  44, 480.00, 377.14,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  45, 480.00, 308.57,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  46, 480.00, 240.00,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  47, 480.00, 171.43,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  48, 480.00, 102.86,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  49, 544.00, 445.71,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  50, 544.00, 377.14,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  51, 544.00, 308.57,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  52, 544.00, 240.00,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  53, 544.00, 171.43,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  54, 544.00, 102.86,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  55, 608.00, 445.71,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  56, 608.00, 377.14,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  57, 608.00, 308.57,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
Tabl,  58, 608.00, 240.00,  64.00,  68.57,C,C,  32,  34,  50,  83,C,C,  65, -18,  83,  62,   0,None,[255 176  10 195],[  8   6   0 195],0,0,0,1,1,c,Lucida Console       
